emp_no,first_name,last_name,birth_date,from_date,to_date,title
10001,Georgi,Facello,1953-09-02,1986-06-26,9999-01-01,Senior Engineer
10004,Chirstian,Koblick,1954-05-01,1986-12-01,9999-01-01,Engineer
10006,Anneke,Preusig,1953-04-20,1990-08-05,9999-01-01,Senior Engineer
10009,Sumant,Peac,1952-04-19,1985-02-18,9999-01-01,Assistant Engineer
10018,Kazuhide,Peha,1954-06-19,1992-07-29,9999-01-01,Engineer
10019,Lillian,Haddadi,1953-01-23,1999-04-30,9999-01-01,Staff
10020,Mayuko,Warwick,1952-12-24,1997-12-30,9999-01-01,Engineer
10022,Shahaf,Famili,1952-07-08,1999-09-03,9999-01-01,Engineer
10023,Bojan,Montemayor,1953-09-29,1999-09-27,9999-01-01,Engineer
10026,Yongqiao,Berztiss,1953-04-03,1995-03-20,9999-01-01,Engineer
10035,Alain,Chappelet,1953-02-08,1988-09-05,9999-01-01,Engineer
10047,Zvonko,Nyanchama,1952-06-29,1989-03-31,9999-01-01,Engineer
10051,Hidefumi,Caine,1953-07-28,1992-10-15,9999-01-01,Engineer
10053,Sanjiv,Zschoche,1954-09-13,1994-11-13,9999-01-01,Senior Staff
10057,Ebbe,Callaway,1954-05-30,1992-01-15,9999-01-01,Engineer
10058,Berhard,McFarlin,1954-10-01,1988-04-25,9999-01-01,Senior Staff
10059,Alejandro,McAlpine,1953-09-19,1991-06-26,9999-01-01,Senior Staff
10063,Gino,Leonhardt,1952-08-06,1989-04-08,9999-01-01,Senior Engineer
10066,Kwee,Schusler,1952-11-13,1986-02-26,9999-01-01,Assistant Engineer
10067,Claudi,Stavenow,1953-01-07,1987-03-04,9999-01-01,Engineer
10072,Hironoby,Sidou,1952-05-15,1989-05-21,9999-01-01,Engineer
10076,Erez,Ritzmann,1952-06-13,1996-07-15,9999-01-01,Senior Engineer
10088,Jungsoon,Syrzycki,1954-02-25,1992-03-21,9999-01-01,Senior Staff
10096,Jayson,Mandell,1954-09-16,1999-01-23,9999-01-01,Engineer
10097,Remzi,Waschkowski,1952-02-27,1990-09-15,9999-01-01,Senior Staff
10100,Hironobu,Haraldson,1953-04-21,1987-09-21,9999-01-01,Senior Staff
10103,Akemi,Birch,1953-11-26,1998-01-12,9999-01-01,Engineer
10106,Eben,Aingworth,1952-08-29,1991-10-27,9999-01-01,Engineer
10126,Kayoko,Valtorta,1954-08-07,1985-09-08,9999-01-01,Senior Staff
10127,Subir,Baja,1952-02-24,1991-05-17,9999-01-01,Senior Engineer
10134,Diederik,Siprelle,1953-04-15,1993-12-02,9999-01-01,Engineer
10157,Nigel,Aloisi,1954-04-23,1997-12-10,9999-01-01,Senior Engineer
10160,Debatosh,Khasidashvili,1953-10-18,1993-12-06,9999-01-01,Senior Staff
10163,Karsten,Szmurlo,1952-09-17,1992-02-02,9999-01-01,Senior Staff
10166,Samphel,Siegrist,1953-05-10,1996-09-02,9999-01-01,Engineer
10183,Mechthild,Bonifati,1954-10-17,1996-08-11,9999-01-01,Staff
10194,Josyula,Hofmeyr,1954-01-29,1997-02-14,9999-01-01,Senior Staff
10196,Marc,Hellwagner,1954-01-27,1999-01-31,9999-01-01,Staff
10198,Pranav,Furedi,1953-05-28,1985-08-31,9999-01-01,Engineer
10205,Mabhin,Leijenhorst,1953-05-20,1993-08-23,9999-01-01,Senior Engineer
10215,Xiaobin,Duclos,1954-04-02,1991-11-23,9999-01-01,Senior Staff
10219,Genta,Kolvik,1952-05-02,1994-10-23,9999-01-01,Senior Staff
10224,Leon,Trogemann,1954-05-17,1988-01-09,9999-01-01,Engineer
10228,Karoline,Cesareni,1953-04-21,1993-01-28,9999-01-01,Senior Staff
10233,Lein,Vendrig,1954-04-01,1994-04-29,9999-01-01,Senior Staff
10240,Remko,Maccarone,1952-04-01,1998-10-06,9999-01-01,Engineer
10249,Marie,Boreale,1954-06-10,1998-04-13,9999-01-01,Engineer
10272,Yishai,Cannane,1954-11-30,1997-10-23,9999-01-01,Staff
10281,Moty,Kusakari,1953-05-13,1994-12-03,9999-01-01,Engineer
10282,Hercules,Benzmuller,1953-11-27,1996-05-02,9999-01-01,Assistant Engineer
10283,Kauko,Birjandi,1953-07-08,1988-05-25,9999-01-01,Engineer
10284,Masali,Murrill,1954-04-08,1999-07-06,9999-01-01,Engineer
10295,Kristine,Velardi,1953-01-13,1995-06-19,9999-01-01,Senior Staff
10298,Dietrich,DuCasse,1954-07-06,2002-05-05,9999-01-01,Staff
10306,Heng,Kilgour,1953-06-02,1993-09-06,9999-01-01,Staff
10322,Isamu,Dahlbom,1954-05-28,1990-01-29,9999-01-01,Engineer
10325,Arunachalam,Badr,1953-01-12,1990-09-20,9999-01-01,Senior Staff
10326,Masali,Czap,1953-02-13,1998-09-02,9999-01-01,Staff
10333,Snehasis,Dymetman,1953-04-27,1993-01-16,9999-01-01,Engineer
10340,Djelloul,Laventhal,1952-08-20,1988-03-30,9999-01-01,Senior Staff
10343,Dinah,Syrzycki,1954-11-01,1997-10-03,9999-01-01,Senior Engineer
10347,Pradeep,Kaminger,1953-10-03,1998-02-20,9999-01-01,Staff
10349,Oksana,Brodie,1954-04-29,1991-09-28,9999-01-01,Senior Staff
10353,Phule,Hammerschmidt,1953-01-15,1989-08-24,9999-01-01,Senior Staff
10355,Satyanarayana,Cochrane,1952-12-10,1996-01-26,9999-01-01,Staff
10356,Vasilis,Standera,1952-08-12,1995-06-26,9999-01-01,Senior Staff
10358,Qunsheng,Tagansky,1953-04-08,1991-02-19,9999-01-01,Technique Leader
10364,Nakhoon,Dengi,1954-09-21,1985-11-14,9999-01-01,Senior Engineer
10372,Anneli,Frijda,1952-04-08,1985-07-30,9999-01-01,Technique Leader
10377,Marl,Grospietsch,1954-08-19,1996-08-24,9999-01-01,Senior Engineer
10387,Parto,Wrigley,1952-11-03,1994-01-07,9999-01-01,Senior Staff
10388,Hironoby,Kaiser,1953-03-29,1999-05-28,9999-01-01,Staff
10389,Make,Peir,1953-03-24,1999-05-13,9999-01-01,Technique Leader
10402,Volkmar,Ebeling,1953-07-23,1987-01-02,9999-01-01,Technique Leader
10413,Danel,Impagliazzo,1952-05-05,1991-12-27,9999-01-01,Senior Staff
10418,Candida,Porotnikoff,1952-06-29,1996-10-04,9999-01-01,Staff
10422,Greger,Rubsam,1954-06-02,1997-09-30,9999-01-01,Engineer
10429,Martien,Improta,1952-02-13,1988-09-23,9999-01-01,Senior Engineer
10432,Hisao,Tiemann,1953-11-06,1990-08-13,9999-01-01,Senior Staff
10433,Reuven,Dengi,1954-09-02,1992-11-26,9999-01-01,Assistant Engineer
10451,Bodh,Ranta,1952-10-06,1988-03-12,9999-01-01,Assistant Engineer
10453,Tsvetan,Matzel,1953-07-19,1985-04-02,9999-01-01,Senior Staff
10463,Ung,Zaiane,1954-05-20,1994-02-17,9999-01-01,Staff
10477,Guoxiang,Trogemann,1952-12-07,1997-05-26,9999-01-01,Engineer
10486,Amstein,Kossowski,1952-08-24,1987-10-08,9999-01-01,Engineer
10494,Yakkov,Servieres,1953-12-21,1991-12-18,9999-01-01,Engineer
10497,Pramod,Rabehasaina,1953-06-09,1992-01-22,9999-01-01,Engineer
10499,Maik,Luft,1953-10-04,1998-03-16,9999-01-01,Senior Staff
10503,Dannz,Pell,1952-05-17,1997-03-13,9999-01-01,Engineer
10504,Xiong,Varker,1953-04-07,1999-10-19,9999-01-01,Staff
10509,Abdelwaheb,Riesenhuber,1953-10-03,1992-10-06,9999-01-01,Senior Staff
10517,Tiina,Speek,1953-06-18,1990-12-25,9999-01-01,Senior Staff
10529,Ymte,Yetto,1952-11-21,1999-06-12,9999-01-01,Assistant Engineer
10531,Oguz,Gimbel,1954-06-11,1995-03-16,9999-01-01,Staff
10548,Ramalingam,Gunderson,1952-06-12,1991-10-04,9999-01-01,Senior Staff
10552,Kazuhito,Shiratori,1953-03-25,1998-08-31,9999-01-01,Senior Engineer
10568,Gao,Poulakidas,1953-12-02,1995-07-08,9999-01-01,Staff
10586,Kirk,Vuskovic,1954-06-23,1992-02-04,9999-01-01,Engineer
10593,Falguni,Kenevan,1952-07-24,2000-03-29,9999-01-01,Engineer
10596,Sanjit,Coors,1954-01-24,1996-05-23,9999-01-01,Senior Staff
10614,Gila,Ozeri,1953-07-11,1997-02-27,9999-01-01,Engineer
10623,Aleksander,Danlos,1953-07-11,1996-02-11,9999-01-01,Engineer
10628,Krisda,Krogh,1954-04-18,1987-03-14,9999-01-01,Assistant Engineer
10630,Bezalel,Katzenelson,1954-08-10,1997-01-13,9999-01-01,Engineer
10634,Nahid,Chepyzhov,1954-08-01,1994-04-02,9999-01-01,Assistant Engineer
10639,Pramod,Erol,1953-04-18,1992-10-25,9999-01-01,Engineer
10641,Guozhong,Zucker,1953-12-24,1993-03-21,9999-01-01,Assistant Engineer
10653,Otmar,Feinberg,1953-06-16,1987-04-30,9999-01-01,Senior Engineer
10671,Parviz,Rebaine,1953-06-12,1995-09-14,9999-01-01,Senior Staff
10676,Valeri,Danley,1953-08-26,1999-09-04,9999-01-01,Engineer
10683,Guiseppe,Stranks,1952-06-18,1997-06-23,9999-01-01,Senior Engineer
10693,Berhard,Daescu,1953-12-14,1986-01-08,9999-01-01,Senior Staff
10696,Unal,Fendler,1952-03-23,1991-09-09,9999-01-01,Technique Leader
10702,Bader,Szemeredi,1952-11-25,1991-01-14,9999-01-01,Senior Engineer
10712,Uma,Koprowski,1952-04-12,1994-08-18,9999-01-01,Engineer
10726,Zita,Minakawa,1954-01-11,1992-02-25,9999-01-01,Engineer
10734,Sachar,Erdi,1954-07-06,1995-12-19,9999-01-01,Engineer
10741,Sven,Huttel,1954-01-02,1989-01-06,9999-01-01,Senior Staff
10745,Poorav,Ranze,1953-10-23,1988-01-23,9999-01-01,Engineer
10750,Roddy,Demeyer,1953-06-14,1998-11-06,9999-01-01,Technique Leader
10764,Yunming,Beetstra,1953-01-12,1989-11-27,9999-01-01,Engineer
10767,Monique,Doering,1954-02-28,1997-07-15,9999-01-01,Staff
10778,Selwyn,Merey,1953-03-13,1986-07-04,9999-01-01,Senior Staff
10791,Tadahiko,Sgarro,1954-05-27,1988-07-30,9999-01-01,Engineer
10795,Supot,Naudin,1954-12-14,1993-05-03,9999-01-01,Senior Staff
10811,Ashish,Fortenbacher,1954-06-29,1997-07-08,9999-01-01,Engineer
10813,Shalesh,Shumilov,1954-07-04,1990-04-27,9999-01-01,Senior Staff
10814,Nidapan,Dymetman,1952-09-17,1993-07-17,9999-01-01,Senior Staff
10826,Arnd,Anandan,1952-12-06,1993-01-22,9999-01-01,Senior Engineer
10827,Willard,Danley,1953-09-25,1996-11-07,9999-01-01,Staff
10830,Fen,Fiebach,1954-08-17,1991-08-24,9999-01-01,Senior Staff
10831,Toong,Driscoll,1953-10-11,1998-02-22,9999-01-01,Technique Leader
10833,Krisda,Gecseg,1953-04-12,1998-12-23,9999-01-01,Technique Leader
10834,Huiqun,Rajcani,1954-12-16,1990-11-24,9999-01-01,Assistant Engineer
10835,Tomoyuki,Kermarrec,1952-11-23,1995-08-22,9999-01-01,Engineer
10836,Jianhua,Leivant,1953-07-15,1991-07-01,9999-01-01,Senior Staff
10844,Dipayan,Koprowski,1954-02-03,1997-04-25,9999-01-01,Engineer
10846,Tokuyasu,Serre,1952-06-27,1997-04-03,9999-01-01,Senior Engineer
10847,Theirry,Danley,1952-03-04,1986-07-25,9999-01-01,Senior Staff
10848,Fen,Bratsberg,1954-07-16,1985-04-20,9999-01-01,Engineer
10849,Makato,Mayerwieser,1953-03-05,1995-06-25,9999-01-01,Assistant Engineer
10854,Jagoda,Nannarelli,1954-08-11,1998-07-13,9999-01-01,Engineer
10858,Kenroku,Gonthier,1952-10-01,1997-01-01,9999-01-01,Engineer
10871,Aram,Gilg,1952-10-24,1999-06-16,9999-01-01,Staff
10872,Karoline,Speel,1952-02-21,1990-09-06,9999-01-01,Senior Staff
10873,Sukumar,Wegerle,1952-07-09,1994-03-23,9999-01-01,Staff
10878,Lakshmi,Deville,1952-06-13,1997-04-25,9999-01-01,Staff
10879,Muzhong,Chleq,1953-08-18,1985-08-15,9999-01-01,Senior Engineer
10882,Fun,Heuser,1953-11-01,1999-04-29,9999-01-01,Engineer
10883,Shimshon,Champarnaud,1952-07-30,1996-12-28,9999-01-01,Engineer
10885,Rayond,Cronau,1953-05-06,1997-09-29,9999-01-01,Senior Staff
10887,Lunjin,DeMori,1953-01-16,1989-03-17,9999-01-01,Senior Engineer
10906,Munehiro,Carrere,1952-02-06,2001-04-25,9999-01-01,Staff
10909,Georgi,Atchley,1954-11-11,1993-12-26,9999-01-01,Engineer
10913,Narain,Thummel,1952-09-03,1998-10-25,9999-01-01,Staff
10924,Hironoby,Atchley,1954-04-27,1988-08-14,9999-01-01,Senior Staff
10926,Leni,Eppinger,1954-10-13,1992-11-04,9999-01-01,Engineer
10927,Gal,Scallan,1953-03-13,1986-09-12,9999-01-01,Senior Staff
10930,Arch,Minakawa,1954-01-13,1991-11-22,9999-01-01,Engineer
10936,Mountaz,Schicker,1953-04-08,1990-05-09,9999-01-01,Senior Staff
10942,Toshimitsu,Larfeldt,1952-08-08,1996-01-21,9999-01-01,Engineer
10944,Remko,Zyda,1952-05-25,1995-09-07,9999-01-01,Senior Engineer
10947,Gor,Usery,1954-09-29,1995-11-16,9999-01-01,Senior Staff
10949,Shigeichiro,Wroclawski,1953-08-14,1990-06-29,9999-01-01,Senior Staff
10969,Premal,Noriega,1954-09-05,1994-05-12,9999-01-01,Senior Engineer
10974,Muneo,Papsdorf,1952-03-07,1999-05-17,9999-01-01,Senior Engineer
10986,Masako,Schiper,1954-08-11,1985-10-11,9999-01-01,Technique Leader
