emp_no,first_name,last_name,dept_no,dept_name
10001,Georgi,Facello,d005,Development
10004,Chirstian,Koblick,d004,Production
10006,Anneke,Preusig,d005,Development
10009,Sumant,Peac,d006,Quality Management
10018,Kazuhide,Peha,d004,Production
10019,Lillian,Haddadi,d008,Research
10020,Mayuko,Warwick,d004,Production
10022,Shahaf,Famili,d005,Development
10023,Bojan,Montemayor,d005,Development
10026,Yongqiao,Berztiss,d004,Production
10035,Alain,Chappelet,d004,Production
10047,Zvonko,Nyanchama,d004,Production
10051,Hidefumi,Caine,d004,Production
10053,Sanjiv,Zschoche,d007,Sales
10057,Ebbe,Callaway,d005,Development
10058,Berhard,McFarlin,d001,Marketing
10059,Alejandro,McAlpine,d002,Finance
10063,Gino,Leonhardt,d004,Production
10066,Kwee,Schusler,d005,Development
10067,Claudi,Stavenow,d006,Quality Management
10072,Hironoby,Sidou,d005,Development
10076,Erez,Ritzmann,d005,Development
10088,Jungsoon,Syrzycki,d009,Customer Service
10096,Jayson,Mandell,d004,Production
10097,Remzi,Waschkowski,d008,Research
10100,Hironobu,Haraldson,d003,Human Resources
10103,Akemi,Birch,d005,Development
10106,Eben,Aingworth,d004,Production
10126,Kayoko,Valtorta,d009,Customer Service
10127,Subir,Baja,d005,Development
10134,Diederik,Siprelle,d004,Production
10157,Nigel,Aloisi,d005,Development
10160,Debatosh,Khasidashvili,d007,Sales
10163,Karsten,Szmurlo,d003,Human Resources
10166,Samphel,Siegrist,d005,Development
10183,Mechthild,Bonifati,d009,Customer Service
10194,Josyula,Hofmeyr,d002,Finance
10196,Marc,Hellwagner,d002,Finance
10198,Pranav,Furedi,d005,Development
10205,Mabhin,Leijenhorst,d004,Production
10215,Xiaobin,Duclos,d007,Sales
10219,Genta,Kolvik,d005,Development
10224,Leon,Trogemann,d004,Production
10228,Karoline,Cesareni,d001,Marketing
10233,Lein,Vendrig,d003,Human Resources
10240,Remko,Maccarone,d006,Quality Management
10249,Marie,Boreale,d008,Research
10272,Yishai,Cannane,d002,Finance
10281,Moty,Kusakari,d006,Quality Management
10282,Hercules,Benzmuller,d004,Production
10283,Kauko,Birjandi,d005,Development
10284,Masali,Murrill,d004,Production
10295,Kristine,Velardi,d002,Finance
10298,Dietrich,DuCasse,d004,Production
10306,Heng,Kilgour,d007,Sales
10322,Isamu,Dahlbom,d005,Development
10325,Arunachalam,Badr,d003,Human Resources
10326,Masali,Czap,d008,Research
10333,Snehasis,Dymetman,d005,Development
10340,Djelloul,Laventhal,d001,Marketing
10343,Dinah,Syrzycki,d006,Quality Management
10347,Pradeep,Kaminger,d008,Research
10349,Oksana,Brodie,d009,Customer Service
10353,Phule,Hammerschmidt,d001,Marketing
10355,Satyanarayana,Cochrane,d007,Sales
10356,Vasilis,Standera,d008,Research
10358,Qunsheng,Tagansky,d005,Development
10364,Nakhoon,Dengi,d004,Production
10372,Anneli,Frijda,d004,Production
10377,Marl,Grospietsch,d004,Production
10387,Parto,Wrigley,d009,Customer Service
10388,Hironoby,Kaiser,d007,Sales
10389,Make,Peir,d005,Development
10402,Volkmar,Ebeling,d006,Quality Management
10413,Danel,Impagliazzo,d003,Human Resources
10418,Candida,Porotnikoff,d001,Marketing
10422,Greger,Rubsam,d006,Quality Management
10429,Martien,Improta,d005,Development
10432,Hisao,Tiemann,d009,Customer Service
10433,Reuven,Dengi,d006,Quality Management
10451,Bodh,Ranta,d004,Production
10453,Tsvetan,Matzel,d009,Customer Service
10463,Ung,Zaiane,d007,Sales
10477,Guoxiang,Trogemann,d005,Development
10486,Amstein,Kossowski,d006,Quality Management
10494,Yakkov,Servieres,d004,Production
10497,Pramod,Rabehasaina,d004,Production
10499,Maik,Luft,d007,Sales
10503,Dannz,Pell,d004,Production
10504,Xiong,Varker,d007,Sales
10509,Abdelwaheb,Riesenhuber,d007,Sales
10517,Tiina,Speek,d007,Sales
10529,Ymte,Yetto,d004,Production
10531,Oguz,Gimbel,d003,Human Resources
10548,Ramalingam,Gunderson,d001,Marketing
10552,Kazuhito,Shiratori,d004,Production
10568,Gao,Poulakidas,d007,Sales
10586,Kirk,Vuskovic,d004,Production
10593,Falguni,Kenevan,d004,Production
10596,Sanjit,Coors,d007,Sales
10614,Gila,Ozeri,d009,Customer Service
10623,Aleksander,Danlos,d008,Research
10628,Krisda,Krogh,d005,Development
10630,Bezalel,Katzenelson,d004,Production
10634,Nahid,Chepyzhov,d008,Research
10639,Pramod,Erol,d005,Development
10641,Guozhong,Zucker,d005,Development
10653,Otmar,Feinberg,d005,Development
10671,Parviz,Rebaine,d003,Human Resources
10676,Valeri,Danley,d005,Development
10683,Guiseppe,Stranks,d004,Production
10693,Berhard,Daescu,d009,Customer Service
10696,Unal,Fendler,d005,Development
10702,Bader,Szemeredi,d005,Development
10712,Uma,Koprowski,d005,Development
10726,Zita,Minakawa,d005,Development
10734,Sachar,Erdi,d004,Production
10741,Sven,Huttel,d001,Marketing
10745,Poorav,Ranze,d004,Production
10750,Roddy,Demeyer,d005,Development
10764,Yunming,Beetstra,d005,Development
10767,Monique,Doering,d007,Sales
10778,Selwyn,Merey,d001,Marketing
10791,Tadahiko,Sgarro,d005,Development
10795,Supot,Naudin,d007,Sales
10811,Ashish,Fortenbacher,d004,Production
10813,Shalesh,Shumilov,d007,Sales
10814,Nidapan,Dymetman,d007,Sales
10826,Arnd,Anandan,d005,Development
10827,Willard,Danley,d002,Finance
10830,Fen,Fiebach,d001,Marketing
10831,Toong,Driscoll,d005,Development
10833,Krisda,Gecseg,d006,Quality Management
10834,Huiqun,Rajcani,d004,Production
10835,Tomoyuki,Kermarrec,d004,Production
10836,Jianhua,Leivant,d009,Customer Service
10844,Dipayan,Koprowski,d005,Development
10846,Tokuyasu,Serre,d008,Research
10847,Theirry,Danley,d008,Research
10848,Fen,Bratsberg,d004,Production
10849,Makato,Mayerwieser,d005,Development
10854,Jagoda,Nannarelli,d005,Development
10858,Kenroku,Gonthier,d005,Development
10871,Aram,Gilg,d009,Customer Service
10872,Karoline,Speel,d002,Finance
10873,Sukumar,Wegerle,d002,Finance
10878,Lakshmi,Deville,d007,Sales
10879,Muzhong,Chleq,d005,Development
10882,Fun,Heuser,d005,Development
10883,Shimshon,Champarnaud,d004,Production
10885,Rayond,Cronau,d001,Marketing
10887,Lunjin,DeMori,d005,Development
10906,Munehiro,Carrere,d007,Sales
10909,Georgi,Atchley,d005,Development
10913,Narain,Thummel,d002,Finance
10924,Hironoby,Atchley,d007,Sales
10926,Leni,Eppinger,d009,Customer Service
10927,Gal,Scallan,d001,Marketing
10930,Arch,Minakawa,d004,Production
10936,Mountaz,Schicker,d003,Human Resources
10942,Toshimitsu,Larfeldt,d005,Development
10944,Remko,Zyda,d004,Production
10947,Gor,Usery,d009,Customer Service
10949,Shigeichiro,Wroclawski,d002,Finance
10969,Premal,Noriega,d005,Development
10974,Muneo,Papsdorf,d005,Development
10986,Masako,Schiper,d005,Development
10987,Flemming,Baezner,d005,Development
10989,Sumali,Candan,d002,Finance
10990,Shin,Foote,d005,Development
11004,JoAnna,Decleir,d006,Quality Management
11009,Alper,Axelband,d007,Sales
11012,Taegyun,Speckmann,d009,Customer Service
11019,Leon,Huttel,d005,Development
11021,Srinidhi,Henders,d008,Research
11031,Ottavia,Walstra,d001,Marketing
11032,Erez,Schaaf,d005,Development
11037,Lansing,Maliniak,d004,Production
11048,Jaques,Demke,d007,Sales
11050,Elvis,Katiyar,d001,Marketing
11051,Przemyslawa,Erol,d004,Production
11061,Pintsang,Erni,d007,Sales
11064,Shawna,Vieri,d004,Production
11066,Shaz,Langford,d002,Finance
11070,Adib,Raney,d006,Quality Management
11071,Kwan,Sigstam,d005,Development
11075,Karsten,Belinskaya,d004,Production
11079,Piyush,Garigliano,d005,Development
11081,Barry,Boyle,d002,Finance
